"name","x","y"
"K44","4697251.979274","2843479.1883159997"
"K51","4689801.979274","2826715.968316"
"K52","4693651.979274","2838204.468316"
"K53","4682861.979274","2844008.658316"
"K54","4687531.979274","2848144.518316"
"K55","4695291.979274","2847235.428316"
"K45","4699501.979274","2840891.778316"
"K46","4697901.979274","2840272.3983159997"
"K47","4703281.979274","2842020.6483159997"
"K48","4698271.979274","2834677.9983159998"
"K49","4692271.979274","2830991.6883159997"
"K50","4696741.979274","2827065.618316"
"K4","4697011.979274","2836126.548316"
"K5","4696941.979274","2836646.028316"
"K6","4698031.979274","2836995.678316"
"K8","4693561.979274","2831331.348316"
"K7","4693751.979274","2831051.628316"
"K9","4694051.979274","2831261.4183159997"
"K11","4690871.979274","2827924.758316"
"K10","4692091.979274","2828204.4783159997"
"K12","4692031.979274","2828454.2283159997"
"K14","4691651.979274","2826056.628316"
"K13","4691691.979274","2826026.658316"
"K15","4691701.979274","2826126.558316"
"K16","4695231.979274","2828683.9983159998"
"K17","4695181.979274","2828554.128316"
"K18","4695081.979274","2828674.008316"
"K20","4694691.979274","2837055.618316"
"K19","4694651.979274","2837025.6483159997"
"K21","4694961.979274","2836835.838316"
"K23","4685891.979274","2833329.348316"
"K22","4685931.979274","2833279.3983159997"
"K24","4685981.979274","2833449.2283159997"
"K25","4704491.979274","2839732.9383159997"
"K26","4704461.979274","2839792.878316"
"K27","4704511.979274","2840002.6683159997"
"K28","4698761.979274","2844298.368316"
"K29","4698801.979274","2844328.338316"
"K30","4698991.979274","2844338.328316"
"K32","4695521.979274","2845537.128316"
"K31","4695431.979274","2845397.268316"
"K33","4695851.979274","2845437.2283159997"
"K35","4691951.979274","2848574.088316"
"K34","4691821.979274","2848484.178316"
"K36","4692201.979274","2848314.348316"
"K37","4685931.979274","2843159.508316"
"K38","4685821.979274","2843319.348316"
"K39","4686031.979274","2843449.218316"
"K41","4687961.979274","2839593.078316"
"K40","4688171.979274","2839613.058316"
"K42","4688261.979274","2839982.6883159997"
"Z6_1","4680771.979274","2841381.288316"
"Z6_2","4680891.979274","2841161.508316"
"K2","4701061.979274","2845816.848316"
"K1","4701931.979274","2844518.1483159997"
"K3","4704091.979274","2846496.1683159997"
